
[MeshData]

UVêî : 3810

UVî‘çÜ0 : { 0.559194, 0.726362 }
UVî‘çÜ1 : { 0.507784, 0.726362 }
UVî‘çÜ2 : { 0.507784, 0.726362 }
UVî‘çÜ3 : { 0.507784, 0.726362 }
UVî‘çÜ4 : { 0.559194, 0.726362 }
UVî‘çÜ5 : { 0.559194, 0.726362 }
UVî‘çÜ6 : { 0.559194, 0.726362 }
UVî‘çÜ7 : { 0.507784, 0.726362 }
UVî‘çÜ8 : { 0.507784, 0.726362 }
UVî‘çÜ9 : { 0.507784, 0.726362 }
UVî‘çÜ10 : { 0.559194, 0.726362 }
UVî‘çÜ11 : { 0.559194, 0.726362 }
UVî‘çÜ12 : { 0.507784, 0.726362 }
UVî‘çÜ13 : { 0.559194, 0.726362 }
UVî‘çÜ14 : { 0.559194, 0.726362 }
UVî‘çÜ15 : { 0.559194, 0.726362 }
UVî‘çÜ16 : { 0.507784, 0.726362 }
UVî‘çÜ17 : { 0.507784, 0.726362 }
UVî‘çÜ18 : { 0.507784, 0.726362 }
UVî‘çÜ19 : { 0.559194, 0.726362 }
UVî‘çÜ20 : { 0.559194, 0.726362 }
UVî‘çÜ21 : { 0.559194, 0.726362 }
UVî‘çÜ22 : { 0.507784, 0.726362 }
UVî‘çÜ23 : { 0.507784, 0.726362 }
UVî‘çÜ24 : { 0.507784, 0.726362 }
UVî‘çÜ25 : { 0.507784, 0.726362 }
UVî‘çÜ26 : { 0.450458, 0.726362 }
UVî‘çÜ27 : { 0.507784, 0.726362 }
UVî‘çÜ28 : { 0.450458, 0.726362 }
UVî‘çÜ29 : { 0.450458, 0.726362 }
UVî‘çÜ30 : { 0.507784, 0.726362 }
UVî‘çÜ31 : { 0.507784, 0.726362 }
UVî‘çÜ32 : { 0.450458, 0.726362 }
UVî‘çÜ33 : { 0.507784, 0.726362 }
UVî‘çÜ34 : { 0.450458, 0.726362 }
UVî‘çÜ35 : { 0.450458, 0.726362 }
UVî‘çÜ36 : { 0.450458, 0.726362 }
UVî‘çÜ37 : { 0.450458, 0.726362 }
UVî‘çÜ38 : { 0.507784, 0.726362 }
UVî‘çÜ39 : { 0.507784, 0.726362 }
UVî‘çÜ40 : { 0.507784, 0.726362 }
UVî‘çÜ41 : { 0.450458, 0.726362 }
UVî‘çÜ42 : { 0.450458, 0.726362 }
UVî‘çÜ43 : { 0.450458, 0.726362 }
UVî‘çÜ44 : { 0.507784, 0.726362 }
UVî‘çÜ45 : { 0.507784, 0.726362 }
UVî‘çÜ46 : { 0.507784, 0.726362 }
UVî‘çÜ47 : { 0.450458, 0.726362 }
UVî‘çÜ48 : { 0.559194, 0.726362 }
UVî‘çÜ49 : { 0.559194, 0.726362 }
UVî‘çÜ50 : { 0.611058, 0.726362 }
UVî‘çÜ51 : { 0.611058, 0.726362 }
UVî‘çÜ52 : { 0.611058, 0.726362 }
UVî‘çÜ53 : { 0.559194, 0.726362 }
UVî‘çÜ54 : { 0.611058, 0.726362 }
UVî‘çÜ55 : { 0.611058, 0.726362 }
UVî‘çÜ56 : { 0.559194, 0.726362 }
UVî‘çÜ57 : { 0.611058, 0.726362 }
UVî‘çÜ58 : { 0.559194, 0.726362 }
UVî‘çÜ59 : { 0.559194, 0.726362 }
UVî‘çÜ60 : { 0.611058, 0.726362 }
UVî‘çÜ61 : { 0.611058, 0.726362 }
UVî‘çÜ62 : { 0.559194, 0.726362 }
UVî‘çÜ63 : { 0.611058, 0.726362 }
UVî‘çÜ64 : { 0.559194, 0.726362 }
UVî‘çÜ65 : { 0.559194, 0.726362 }
UVî‘çÜ66 : { 0.611058, 0.726362 }
UVî‘çÜ67 : { 0.559194, 0.726362 }
UVî‘çÜ68 : { 0.559194, 0.726362 }
UVî‘çÜ69 : { 0.559194, 0.726362 }
UVî‘çÜ70 : { 0.611058, 0.726362 }
UVî‘çÜ71 : { 0.611058, 0.726362 }
UVî‘çÜ72 : { 0.450458, 0.726362 }
UVî‘çÜ73 : { 0.450458, 0.726362 }
UVî‘çÜ74 : { 0.390563, 0.726362 }
UVî‘çÜ75 : { 0.450458, 0.726362 }
UVî‘çÜ76 : { 0.390563, 0.726362 }
UVî‘çÜ77 : { 0.390563, 0.726362 }
UVî‘çÜ78 : { 0.390563, 0.726362 }
UVî‘çÜ79 : { 0.390563, 0.726362 }
UVî‘çÜ80 : { 0.450458, 0.726362 }
UVî‘çÜ81 : { 0.450458, 0.726362 }
UVî‘çÜ82 : { 0.390563, 0.726362 }
UVî‘çÜ83 : { 0.450458, 0.726362 }
UVî‘çÜ84 : { 0.390563, 0.726362 }
UVî‘çÜ85 : { 0.390563, 0.726362 }
UVî‘çÜ86 : { 0.450458, 0.726362 }
UVî‘çÜ87 : { 0.450458, 0.726362 }
UVî‘çÜ88 : { 0.390563, 0.726362 }
UVî‘çÜ89 : { 0.450458, 0.726362 }
UVî‘çÜ90 : { 0.390563, 0.726362 }
UVî‘çÜ91 : { 0.390563, 0.726362 }
UVî‘çÜ92 : { 0.450458, 0.726362 }
UVî‘çÜ93 : { 0.450458, 0.726362 }
UVî‘çÜ94 : { 0.390563, 0.726362 }
UVî‘çÜ95 : { 0.450458, 0.726362 }
UVî‘çÜ96 : { 0.65833, 0.726362 }
UVî‘çÜ97 : { 0.65833, 0.726362 }
UVî‘çÜ98 : { 0.611058, 0.726362 }
UVî‘çÜ99 : { 0.65833, 0.726362 }
UVî‘çÜ100 : { 0.611058, 0.726362 }
UVî‘çÜ101 : { 0.611058, 0.726362 }
UVî‘çÜ102 : { 0.65833, 0.726362 }
UVî‘çÜ103 : { 0.65833, 0.726362 }
UVî‘çÜ104 : { 0.611058, 0.726362 }
UVî‘çÜ105 : { 0.65833, 0.726362 }
UVî‘çÜ106 : { 0.611058, 0.726362 }
UVî‘çÜ107 : { 0.611058, 0.726362 }
UVî‘çÜ108 : { 0.611058, 0.726362 }
UVî‘çÜ109 : { 0.65833, 0.726362 }
UVî‘çÜ110 : { 0.65833, 0.726362 }
UVî‘çÜ111 : { 0.65833, 0.726362 }
UVî‘çÜ112 : { 0.611058, 0.726362 }
UVî‘çÜ113 : { 0.611058, 0.726362 }
UVî‘çÜ114 : { 0.611058, 0.726362 }
UVî‘çÜ115 : { 0.65833, 0.726362 }
UVî‘çÜ116 : { 0.65833, 0.726362 }
UVî‘çÜ117 : { 0.65833, 0.726362 }
UVî‘çÜ118 : { 0.611058, 0.726362 }
UVî‘çÜ119 : { 0.611058, 0.726362 }
UVî‘çÜ120 : { 0.338676, 0.726362 }
UVî‘çÜ121 : { 0.390563, 0.726362 }
UVî‘çÜ122 : { 0.390563, 0.726362 }
UVî‘çÜ123 : { 0.390563, 0.726362 }
UVî‘çÜ124 : { 0.338676, 0.726362 }
UVî‘çÜ125 : { 0.338676, 0.726362 }
UVî‘çÜ126 : { 0.338676, 0.726362 }
UVî‘çÜ127 : { 0.390563, 0.726362 }
UVî‘çÜ128 : { 0.390563, 0.726362 }
UVî‘çÜ129 : { 0.390563, 0.726362 }
UVî‘çÜ130 : { 0.338676, 0.726362 }
